ProductID,Name,Brand,Category,Barcode,SustainabilityRating,Price
1,Walk Pro 874,PureHome,Clothing,1151839373946,Low,83.76
2,Increase Plus 145,BioBeauty,Clothing,4589451961482,High,446.64
3,Modern Plus 29,FitGear,Electronics,0515915719195,High,137.75
4,Office Lite 583,BioBeauty,Books,6662591218604,Medium,150.77
5,Star Eco 642,NatureWear,Books,7154753063041,Medium,232.07
6,Soldier Max 31,SustainIt,Books,8268592038128,High,372.56
7,Moment Eco 902,PureHome,Toys,9622327397932,Medium,33.87
8,Enter Eco 204,NatureWear,Home & Kitchen,6780177380757,Medium,383.17
9,Order Eco 790,SustainIt,Books,7533758885412,High,489.72
10,Morning Pro 588,EcoBrand,Sports,0177757072236,Medium,23.57
11,Cost Plus 152,SustainIt,Clothing,4709553811205,Low,236.62
12,Everything Lite 747,EcoBrand,Clothing,4391888593873,Medium,5.64
13,Own Pro 293,EcoBrand,Books,7913396571500,High,281.45
14,Together Max 453,GreenLife,Clothing,8498102837518,High,278.49
15,Campaign Pro 645,NatureWear,Beauty,0114057028709,Medium,203.94
16,Practice Eco 947,SustainIt,Clothing,6909677485353,Low,484.52
17,Investment Max 870,FitGear,Clothing,2718421716056,Medium,91.48
18,Very Eco 601,BioBeauty,Sports,5694172087461,Medium,288.04
19,Back Lite 686,NatureWear,Home & Kitchen,4568120235277,Medium,151.97
20,Whatever Lite 805,NatureWear,Electronics,4205967853737,Medium,435.18
21,Degree Max 253,EcoBrand,Clothing,8522354456446,Medium,164.23
22,Site Plus 954,FitGear,Electronics,9656167448592,Medium,47.59
23,Direction Lite 644,GreenLife,Toys,1810174457031,Medium,461.04
24,Majority Max 603,SustainIt,Beauty,9194878984737,Medium,322.98
25,Parent Eco 793,PureHome,Toys,4895527853651,Medium,380.75
26,Even Pro 760,NatureWear,Beauty,9885954129363,High,421.2
27,Also Pro 7,PureHome,Clothing,5557496900284,Medium,498.76
28,Eye Eco 611,EcoBrand,Toys,5954718762888,High,288.71
29,Full Plus 462,GreenLife,Beauty,1953983332813,High,339.99
30,Worry Plus 789,SustainIt,Home & Kitchen,8837931491742,High,366.89
31,Listen Max 692,NatureWear,Toys,7239936480904,Medium,330.24
32,Something Max 814,GreenLife,Toys,9846667521639,Low,391.65
33,Summer Lite 350,PureHome,Toys,6226105029454,Low,278.9
34,Prove Pro 633,GreenLife,Books,8605848155664,Low,314.65
35,Husband Pro 403,BioBeauty,Sports,0455590817888,Medium,181.92
36,Machine Eco 612,BioBeauty,Clothing,2747669400021,Low,212.73
37,Bring Lite 936,PureHome,Beauty,4712884452634,Medium,245.06
38,Theory Pro 378,EcoBrand,Electronics,9235915824750,Low,44.77
39,Fire Max 309,PureHome,Home & Kitchen,9999797232224,High,361.91
40,Fact Lite 771,FitGear,Clothing,1253936110070,High,362.14
41,Receive Lite 143,PureHome,Electronics,2876257987788,Low,360.64
42,Yes Plus 939,PureHome,Books,5285863924945,High,223.01
43,Several Pro 747,BioBeauty,Sports,3559939710322,Medium,436.64
44,Office Max 207,NatureWear,Clothing,0309345402716,Medium,237.06
45,As Max 934,FitGear,Toys,3807993535819,Medium,398.09
46,Stock Plus 59,FitGear,Electronics,6365407390777,High,195.06
47,During Plus 545,FitGear,Beauty,3509822055160,Medium,79.52
48,Discover Plus 467,EcoBrand,Clothing,0353959307646,Medium,46.64
49,Safe Max 50,FitGear,Books,9530708072876,High,193.59
50,Huge Max 198,NatureWear,Sports,3730757250966,Low,142.59
51,Begin Max 102,SustainIt,Electronics,3143121388248,Medium,280.31
52,Evening Pro 812,GreenLife,Electronics,3540785340702,Medium,35.48
53,Kitchen Eco 426,BioBeauty,Toys,0599933260488,Medium,453.12
54,Wrong Lite 439,GreenLife,Clothing,5842382114839,High,5.19
55,Behavior Max 707,FitGear,Home & Kitchen,1027557434668,High,17.94
56,Skill Plus 467,FitGear,Books,6072048931428,Medium,250.21
57,Writer Max 698,GreenLife,Home & Kitchen,8159964000976,Medium,314.94
58,Business Plus 597,EcoBrand,Books,7173286349040,Low,305.36
59,Go Max 929,PureHome,Clothing,7289471095743,High,151.42
60,Until Plus 793,GreenLife,Home & Kitchen,8796938550558,Medium,334.99
61,Sense Pro 545,NatureWear,Beauty,0906483239404,Medium,23.41
62,Though Lite 497,FitGear,Books,9775144321182,Medium,485.47
63,Generation Lite 944,SustainIt,Home & Kitchen,5760377161579,High,296.78
64,Science Eco 421,GreenLife,Beauty,6913894384450,Medium,383.26
65,Step Plus 506,BioBeauty,Toys,7647466045843,High,114.28
66,Knowledge Lite 125,SustainIt,Home & Kitchen,1968115105258,Medium,472.24
67,Whose Plus 794,PureHome,Clothing,3089228243595,Medium,345.39
68,Political Lite 374,NatureWear,Books,4198706086599,Low,425.86
69,Resource Eco 274,GreenLife,Books,9323829094427,Medium,194.94
70,Fact Pro 315,SustainIt,Books,4753915047740,Medium,225.09
71,Woman Max 461,SustainIt,Books,4670149291193,Low,462.55
72,Father Lite 492,NatureWear,Home & Kitchen,1494602228969,Medium,451.37
73,Successful Max 29,NatureWear,Toys,3758952887008,Medium,266.48
74,Phone Pro 426,SustainIt,Sports,1447457842095,High,492.75
75,Nature Pro 850,FitGear,Beauty,5130793830753,High,325.56
76,Site Pro 780,GreenLife,Home & Kitchen,3231262414428,High,244.43
77,Factor Plus 600,GreenLife,Beauty,6142492039039,High,284.25
78,Expert Plus 867,NatureWear,Books,3831785534438,Low,49.62
79,Development Lite 479,PureHome,Toys,8694669522083,Medium,380.69
80,Travel Lite 356,NatureWear,Electronics,7768261415379,Medium,356.08
81,Strong Lite 588,SustainIt,Electronics,2541311335446,Medium,300.9
82,Provide Max 343,NatureWear,Toys,3878218500165,High,122.18
83,Also Max 140,SustainIt,Books,2788168783741,Medium,312.66
84,So Pro 71,GreenLife,Toys,0578917410217,Medium,464.38
85,Save Pro 546,BioBeauty,Beauty,7022117242909,Low,350.38
86,Tell Eco 693,EcoBrand,Electronics,0600344214301,Low,256.58
87,Soon Lite 920,PureHome,Books,8484477087320,Medium,153.62
88,Suddenly Lite 557,PureHome,Sports,9643041608647,Medium,493.2
89,Add Eco 315,SustainIt,Clothing,2897635752910,High,322.11
90,Always Pro 390,GreenLife,Home & Kitchen,1168601697179,Medium,51.75
91,Because Plus 375,FitGear,Books,0705568784286,Low,32.67
92,Much Lite 365,SustainIt,Clothing,7149252986410,Low,150.93
93,South Pro 281,NatureWear,Beauty,2093456109579,Medium,127.93
94,Wife Plus 253,SustainIt,Clothing,4877660269414,Low,447.84
95,Discover Max 957,GreenLife,Toys,4286887952854,Medium,381.87
96,Trouble Max 590,BioBeauty,Home & Kitchen,9373009933862,Medium,235.48
97,Who Plus 970,EcoBrand,Home & Kitchen,8923604918804,Medium,148.57
98,Ask Pro 821,NatureWear,Electronics,6395067995654,Medium,235.37
99,Service Eco 761,PureHome,Beauty,8943958965439,High,38.44
100,Plant Max 778,FitGear,Clothing,6936348615993,Low,59.63
101,Against Lite 422,NatureWear,Sports,4444138190169,Low,406.57
102,At Plus 465,EcoBrand,Sports,9594416816337,Medium,44.26
103,Table Max 491,BioBeauty,Home & Kitchen,7712541558911,High,91.93
104,Current Lite 229,BioBeauty,Toys,7241413406291,High,423.1
105,Kind Max 483,GreenLife,Beauty,2410009795780,Medium,412.82
106,Only Pro 951,SustainIt,Beauty,1236650344570,High,127.94
107,Strategy Max 581,BioBeauty,Electronics,3850390409061,Medium,9.76
108,South Plus 715,NatureWear,Books,4077551694787,Medium,258.1
109,See Plus 794,SustainIt,Beauty,2763367675844,Low,424.71
110,Imagine Eco 224,GreenLife,Beauty,6324299469596,High,370.13
111,Decision Eco 58,NatureWear,Electronics,2318419964089,High,131.74
112,Entire Lite 280,FitGear,Toys,3243850540594,Low,171.48
113,Toward Eco 163,NatureWear,Home & Kitchen,5454701720012,Low,8.49
114,Movie Plus 949,PureHome,Clothing,5455935053860,Low,310.85
115,They Eco 615,SustainIt,Beauty,7230958926524,High,320.53
116,Fear Max 12,SustainIt,Toys,8263675862119,Medium,203.76
117,Industry Max 408,SustainIt,Toys,7232705869580,Low,389.39
118,Available Max 956,BioBeauty,Sports,4613648967923,Medium,357.67
119,Many Max 670,BioBeauty,Clothing,9062184360654,Low,378.29
120,Man Pro 596,BioBeauty,Sports,3170255027187,High,53.53
121,Whether Pro 987,SustainIt,Books,7507080200915,Medium,141.61
122,Nearly Pro 868,PureHome,Clothing,0248883545984,Medium,270.19
123,Year Eco 378,FitGear,Toys,6024316765341,Medium,299.93
124,Step Pro 796,GreenLife,Clothing,8946419391624,Medium,135.78
125,Forward Max 72,SustainIt,Books,8216831784787,Medium,315.91
126,Somebody Lite 507,FitGear,Clothing,5522168106196,Medium,55.75
127,Window Lite 232,GreenLife,Sports,7176929459267,Medium,121.97
128,Modern Eco 626,NatureWear,Beauty,6826990594404,Low,78.91
129,Memory Lite 987,SustainIt,Sports,6739463040943,Medium,202.39
130,Radio Eco 858,FitGear,Electronics,7233914410587,Medium,393.86
131,Campaign Max 610,SustainIt,Beauty,2515561484742,Low,357.56
132,Ground Max 398,EcoBrand,Electronics,2376253428891,Medium,459.0
133,Magazine Pro 785,FitGear,Home & Kitchen,5057779322630,Medium,445.22
134,Office Plus 485,FitGear,Books,4144713153625,Medium,127.6
135,Lawyer Pro 665,SustainIt,Books,7969492361453,Medium,211.36
136,Example Lite 604,PureHome,Electronics,6784124982636,High,45.94
137,Great Pro 702,EcoBrand,Books,5032296218260,High,103.06
138,Several Pro 856,BioBeauty,Books,6137953604628,High,401.95
139,Join Plus 72,NatureWear,Toys,4821032745372,Low,34.71
140,Treat Plus 278,SustainIt,Toys,1813125822988,Medium,189.02
141,Head Lite 569,BioBeauty,Home & Kitchen,4508899943232,High,473.38
142,Magazine Lite 651,PureHome,Books,1157405647213,Medium,6.18
143,South Pro 126,NatureWear,Electronics,1015918818257,Medium,442.02
144,Method Eco 983,FitGear,Beauty,5225148829312,High,304.07
145,Hour Eco 40,GreenLife,Electronics,1659704647593,Medium,186.91
146,Building Eco 801,EcoBrand,Electronics,2421723936991,High,379.51
147,Social Eco 603,PureHome,Books,0113855882544,Low,234.51
148,Skin Lite 77,SustainIt,Books,4553993082912,Low,323.83
149,How Lite 504,FitGear,Sports,8174374989031,Medium,352.03
150,Star Lite 127,FitGear,Toys,3885358937621,High,350.67
151,Bill Eco 32,FitGear,Beauty,6958422773375,Medium,108.97
152,Laugh Plus 110,PureHome,Toys,6252424241949,Low,56.97
153,Place Max 727,EcoBrand,Home & Kitchen,7557348390636,High,165.8
154,Eye Lite 691,NatureWear,Electronics,3245547908779,Medium,389.53
155,Include Max 271,FitGear,Home & Kitchen,1131838426997,Low,471.41
156,Area Max 756,SustainIt,Home & Kitchen,0501273549338,High,393.46
157,Economic Lite 986,SustainIt,Books,3970097589481,High,213.87
